SalePrice,num_rooms,n_baths,square_meters,neighborhood
335000,3.0,1.0,79.0,Gracia
795000,7.0,3.0,192.0,Gracia
410000,2.0,1.0,76.0,Gracia
259000,1.0,1.0,91.0,Gracia
579000,4.0,2.0,141.0,Gracia
630000,3.0,2.0,185.0,Gracia
249000,2.0,1.0,60.0,Gracia
588000,4.0,2.0,126.0,Gracia
408000,3.0,2.0,81.0,Gracia
179000,3.0,2.0,66.0,Gracia
310000,4.0,1.0,72.0,Gracia
475000,4.0,2.0,124.0,Gracia
232000,2.0,1.0,61.0,Gracia
319000,4.0,2.0,109.0,Gracia
250000,3.0,2.0,89.0,Gracia
455000,2.0,2.0,85.0,Gracia
890000,3.0,2.0,186.0,Gracia
365000,3.0,1.0,84.0,Gracia
255000,2.0,2.0,75.0,Gracia
440000,5.0,2.0,147.0,Gracia
535000,4.0,2.0,127.0,Gracia
232000,2.0,,,Gracia
315000,3.0,1.0,103.0,Gracia
250000,2.0,2.0,72.0,Gracia
320000,1.0,1.0,130.0,Gracia
290000,3.0,2.0,77.0,Gracia
259000,3.0,1.0,65.0,Gracia
498000,4.0,2.0,141.0,Gracia
595000,4.0,1.0,170.0,Gracia
295000,3.0,1.0,84.0,Gracia
430000,1.0,1.0,72.0,Gracia
335000,3.0,2.0,89.0,Gracia
240000,2.0,2.0,85.0,Gracia
260000,3.0,1.0,68.0,Gracia
389000,2.0,2.0,104.0,Gracia
498000,5.0,2.0,141.0,Gracia
480000,3.0,2.0,102.0,Gracia
520000,3.0,2.0,86.0,Gracia
1055000,3.0,2.0,158.0,Gracia
380000,3.0,2.0,80.0,Gracia
445000,2.0,2.0,93.0,Gracia
375000,4.0,2.0,94.0,Gracia
330000,3.0,2.0,86.0,Gracia
260000,1.0,1.0,102.0,Gracia
380000,3.0,2.0,80.0,Gracia
649000,4.0,2.0,155.0,Gracia
395000,3.0,2.0,91.0,Gracia
498000,5.0,2.0,141.0,Gracia
220000,3.0,1.0,78.0,Gracia
498500,4.0,2.0,120.0,Gracia
245000,,,,Gracia
330000,3.0,1.0,75.0,Gracia
995000,4.0,3.0,158.0,Gracia
630000,3.0,2.0,167.0,Gracia
646000,3.0,2.0,83.0,Gracia
475000,4.0,2.0,103.0,Gracia
500000,3.0,2.0,94.0,Gracia
550000,3.0,1.0,232.0,Gracia
252926,1.0,1.0,50.0,Gracia
395000,3.0,2.0,115.0,Gracia
260000,3.0,1.0,82.0,Gracia
350000,3.0,1.0,98.0,Gracia
370000,3.0,2.0,90.0,Gracia
220000,3.0,1.0,70.0,Gracia
180000,2.0,1.0,70.0,Gracia
1700000,5.0,4.0,312.0,Gracia
590000,3.0,2.0,92.0,Gracia
409000,2.0,2.0,60.0,Gracia
179000,3.0,2.0,66.0,Gracia
790000,3.0,2.0,150.0,Gracia
225000,4.0,2.0,100.0,Gracia
417860,2.0,1.0,57.0,Gracia
512000,2.0,2.0,115.0,Gracia
319500,3.0,1.0,,Gracia
1200000,3.0,3.0,220.0,Gracia
498000,5.0,2.0,141.0,Gracia
399000,3.0,2.0,75.0,Gracia
433000,2.0,2.0,90.0,Gracia
465000,3.0,3.0,99.0,Gracia
467000,2.0,1.0,98.0,Gracia
495000,4.0,2.0,158.0,Gracia
430000,2.0,1.0,72.0,Gracia
698000,3.0,2.0,143.0,Gracia
330000,3.0,1.0,76.0,Gracia
515000,3.0,1.0,81.0,Gracia
409000,3.0,2.0,74.0,Gracia
1100000,3.0,3.0,300.0,Gracia
498000,5.0,2.0,141.0,Gracia
380000,2.0,1.0,85.0,Gracia
365000,2.0,1.0,81.0,Gracia
500000,4.0,2.0,114.0,Gracia
370000,3.0,2.0,112.0,Gracia
109000,1.0,,,Gracia
357000,3.0,2.0,105.0,Gracia
455000,3.0,2.0,82.0,Gracia
450000,3.0,1.0,100.0,Gracia
740000,4.0,3.0,215.0,Gracia
205000,1.0,1.0,41.0,Gracia
250000,3.0,1.0,79.0,Gracia
215000,1.0,1.0,43.0,Gracia
321741,1.0,,,Gracia
450789,2.0,1.0,79.0,Gracia
544766,3.0,2.0,85.0,Gracia
540000,3.0,3.0,115.0,Gracia
510000,3.0,2.0,90.0,Gracia
635000,4.0,3.0,123.0,Gracia
1375000,10.0,4.0,600.0,Gracia
428000,2.0,1.0,63.0,Gracia
512000,3.0,1.0,150.0,Gracia
520000,3.0,1.0,120.0,Gracia
339000,3.0,2.0,110.0,Gracia
399000,2.0,1.0,76.0,Gracia
397000,2.0,1.0,37.0,Gracia
550000,4.0,3.0,222.0,Gracia
230000,2.0,,,Gracia
307500,3.0,1.0,133.0,Gracia
380000,3.0,1.0,83.0,Gracia
1400000,7.0,5.0,347.0,Gracia
240000,3.0,1.0,74.0,Gracia
250000,2.0,2.0,72.0,Gracia
380000,3.0,2.0,80.0,Gracia
1080000,3.0,2.0,189.0,Gracia
425000,1.0,1.0,59.0,Gracia
345000,4.0,1.0,90.0,Gracia
380000,3.0,1.0,67.0,Gracia
389000,2.0,2.0,104.0,Gracia
199000,3.0,1.0,58.0,Gracia
249700,3.0,2.0,87.0,Gracia
785000,3.0,2.0,132.0,Gracia
359000,3.0,2.0,73.0,Gracia
269900,3.0,1.0,78.0,Gracia
1475000,7.0,3.0,170.0,Gracia
930000,4.0,2.0,128.0,Gracia
225000,4.0,2.0,100.0,Gracia
490000,2.0,2.0,96.0,Gracia
269000,3.0,1.0,65.0,Gracia
199000,3.0,1.0,58.0,Gracia
420000,3.0,1.0,98.0,Gracia
845000,6.0,4.0,238.0,Gracia
380000,3.0,2.0,80.0,Gracia
690000,3.0,3.0,120.0,Gracia
690000,3.0,3.0,120.0,Gracia
1790000,3.0,3.0,189.0,Gracia
1080000,3.0,2.0,189.0,Gracia
1050000,5.0,3.0,208.0,Gracia
252000,1.0,1.0,54.0,Gracia
650000,3.0,4.0,95.0,Gracia
298000,2.0,1.0,53.0,Gracia
297500,3.0,2.0,55.0,Gracia
195000,3.0,2.0,100.0,Gracia
626000,3.0,2.0,84.0,Gracia
515000,2.0,2.0,114.0,Gracia
2100000,5.0,4.0,379.0,Gracia
197000,2.0,1.0,63.0,Gracia
595000,3.0,2.0,109.0,Gracia
175000,3.0,,,Gracia
573000,3.0,2.0,109.0,Gracia
395000,2.0,2.0,134.0,Gracia
860550,4.0,3.0,130.0,Gracia
240000,1.0,,,Gracia
650000,4.0,2.0,114.0,Gracia
375000,2.0,2.0,83.0,Gracia
849000,3.0,3.0,121.0,Gracia
169000,2.0,1.0,68.0,Gracia
330000,3.0,2.0,86.0,Gracia
319000,3.0,2.0,57.0,Gracia
798730,3.0,2.0,117.0,Gracia
428000,2.0,1.0,63.0,Gracia
316000,2.0,1.0,76.0,Gracia
225000,4.0,2.0,100.0,Gracia
591138,2.0,1.0,191.0,Gracia
515000,3.0,1.0,81.0,Gracia
199000,3.0,1.0,72.0,Gracia
510000,3.0,2.0,93.0,Gracia
520000,3.0,1.0,120.0,Gracia
232000,2.0,1.0,57.0,Gracia
380000,,,,Gracia
300000,3.0,1.0,75.0,Gracia
375000,3.0,1.0,90.0,Gracia
498000,5.0,2.0,141.0,Gracia
197000,2.0,1.0,63.0,Gracia
259000,3.0,1.0,65.0,Gracia
561581,1.0,1.0,180.0,Gracia
370000,4.0,2.0,98.0,Gracia
630000,3.0,2.0,152.0,Gracia
275000,2.0,1.0,76.0,Gracia
380000,3.0,1.0,70.0,Gracia
300000,3.0,2.0,86.0,Gracia
389000,2.0,1.0,104.0,Gracia
339000,3.0,1.0,97.0,Gracia
250000,2.0,2.0,72.0,Gracia
450000,2.0,2.0,90.0,Gracia
197000,2.0,1.0,63.0,Gracia
495000,4.0,2.0,108.0,Gracia
296000,2.0,1.0,59.0,Gracia
199000,3.0,1.0,58.0,Gracia
490000,2.0,2.0,104.0,Gracia
339000,4.0,2.0,118.0,Gracia
240000,2.0,2.0,85.0,Gracia
399000,3.0,2.0,78.0,Gracia
297500,3.0,2.0,57.0,Gracia
354000,3.0,2.0,100.0,Gracia
392000,3.0,2.0,101.0,Gracia
590000,4.0,1.0,148.0,Gracia
390000,1.0,1.0,83.0,Gracia
215000,2.0,1.0,45.0,Gracia
1390000,4.0,4.0,220.0,Gracia
465000,3.0,1.0,103.0,Gracia
490000,2.0,2.0,97.0,Gracia
258000,3.0,1.0,71.0,Gracia
745000,5.0,2.0,155.0,Gracia
380000,2.0,1.0,65.0,Gracia
310000,3.0,2.0,66.0,Gracia
179000,3.0,2.0,66.0,Gracia
389000,2.0,2.0,104.0,Gracia
455000,3.0,2.0,82.0,Gracia
2100000,5.0,4.0,287.0,Gracia
790000,3.0,2.0,150.0,Gracia
245000,3.0,1.0,45.0,Gracia
197000,2.0,1.0,63.0,Gracia
423000,2.0,2.0,67.0,Gracia
398000,3.0,2.0,80.0,Gracia
107000,1.0,,,Gracia
1225000,8.0,4.0,250.0,Gracia
630000,3.0,2.0,180.0,Gracia
400000,2.0,2.0,91.0,Gracia
320000,4.0,1.0,86.0,Gracia
320000,4.0,1.0,86.0,Gracia
197000,2.0,1.0,63.0,Gracia
300000,3.0,2.0,77.0,Gracia
375000,2.0,1.0,95.0,Gracia
275000,3.0,1.0,65.0,Gracia
553000,3.0,2.0,121.0,Gracia
298400,2.0,1.0,65.0,Gracia
315000,2.0,2.0,77.0,Gracia
350000,2.0,1.0,62.0,Gracia
430300,2.0,1.0,59.0,Gracia
437678,2.0,1.0,57.0,Gracia
260000,3.0,1.0,65.0,Gracia
320000,2.0,1.0,130.0,Gracia
1095000,4.0,2.0,194.0,Gracia
1650000,5.0,2.0,210.0,Gracia
145000,3.0,1.0,59.0,Gracia
520000,3.0,2.0,121.0,Gracia
543000,3.0,2.0,111.0,Gracia
370000,2.0,2.0,76.0,Gracia
411000,2.0,2.0,63.0,Gracia
239900,3.0,2.0,63.0,Gracia
375000,1.0,,,Gracia
320000,2.0,1.0,104.0,Gracia
1080000,3.0,2.0,190.0,Gracia
339000,3.0,1.0,95.0,Gracia
245000,2.0,2.0,60.0,Gracia
330000,3.0,1.0,73.0,Gracia
197000,2.0,1.0,63.0,Gracia
630000,2.0,2.0,137.0,Gracia
613700,2.0,2.0,87.0,Gracia
275000,3.0,1.0,89.0,Gracia
1080000,3.0,2.0,189.0,Gracia
365000,3.0,1.0,70.0,Gracia
385000,4.0,1.0,83.0,Gracia
457000,4.0,2.0,75.0,Gracia
389000,2.0,1.0,104.0,Gracia
215000,2.0,1.0,50.0,Gracia
345000,2.0,2.0,77.0,Gracia
320000,4.0,1.0,86.0,Gracia
490000,2.0,2.0,74.0,Gracia
355000,4.0,2.0,170.0,Gracia
435000,3.0,1.0,91.0,Gracia
498000,2.0,2.0,70.0,Gracia
1060000,4.0,3.0,200.0,Gracia
368000,4.0,2.0,96.0,Gracia
798000,3.0,2.0,193.0,Gracia
472414,1.0,1.0,70.0,Gracia
298000,2.0,1.0,53.0,Gracia
225000,4.0,2.0,100.0,Gracia
498000,5.0,2.0,141.0,Gracia
197000,2.0,1.0,63.0,Gracia
750000,3.0,3.0,146.0,Gracia
199000,3.0,1.0,72.0,Gracia
159000,1.0,1.0,60.0,Gracia
109000,1.0,,,Gracia
320000,4.0,1.0,86.0,Gracia
604700,1.0,1.0,94.0,Gracia
250000,2.0,2.0,72.0,Gracia
350000,4.0,3.0,134.0,Gracia
179000,3.0,1.0,66.0,Gracia
1350000,15.0,4.0,325.0,Gracia
498000,5.0,2.0,141.0,Gracia
272000,3.0,1.0,71.0,Gracia
169000,3.0,1.0,69.0,Gracia
389000,2.0,2.0,104.0,Gracia
470000,3.0,2.0,136.0,Gracia
498000,5.0,2.0,141.0,Gracia
399000,3.0,2.0,78.0,Gracia
380000,3.0,1.0,90.0,Gracia
259000,3.0,1.0,70.0,Gracia
260000,2.0,1.0,66.0,Gracia
215000,2.0,1.0,50.0,Gracia
215000,2.0,1.0,50.0,Gracia
169000,3.0,1.0,69.0,Gracia
498000,5.0,2.0,141.0,Gracia
215000,2.0,1.0,50.0,Gracia
215000,2.0,1.0,50.0,Gracia
472414,1.0,,,Gracia
1055000,3.0,2.0,192.0,Gracia
595000,3.0,2.0,139.0,Gracia
380000,3.0,2.0,80.0,Gracia
523000,3.0,2.0,109.0,Gracia
370000,3.0,3.0,82.0,Gracia
250000,2.0,1.0,72.0,Gracia
1300000,4.0,3.0,293.0,Gracia
610000,3.0,2.0,148.0,Gracia
498000,3.0,2.0,109.0,Gracia
2100000,5.0,3.0,287.0,Gracia
450000,2.0,2.0,90.0,Gracia
245000,1.0,1.0,42.0,Gracia
414729,2.0,1.0,59.0,Gracia
390000,3.0,1.0,90.0,Gracia
695000,2.0,2.0,142.0,Gracia
252926,1.0,1.0,44.0,Gracia
395000,3.0,2.0,115.0,Gracia
250000,2.0,1.0,51.0,Gracia
390000,2.0,1.0,82.0,Gracia
1795000,6.0,6.0,427.0,Gracia
225000,4.0,2.0,100.0,Gracia
498000,5.0,2.0,141.0,Gracia
239000,2.0,1.0,63.0,Gracia
1375000,4.0,4.0,474.0,Gracia
330000,3.0,1.0,91.0,Gracia
390000,3.0,2.0,90.0,Gracia
232000,2.0,1.0,57.0,Gracia
515000,3.0,1.0,95.0,Gracia
285000,3.0,1.0,75.0,Gracia
320000,1.0,1.0,130.0,Gracia
529000,1.0,1.0,140.0,Gracia
199000,3.0,1.0,72.0,Gracia
890000,4.0,2.0,186.0,Gracia
245000,1.0,1.0,42.0,Gracia
380000,3.0,1.0,90.0,Gracia
375000,4.0,2.0,95.0,Gracia
194000,2.0,1.0,56.0,Gracia
995000,4.0,2.0,160.0,Gracia
199000,3.0,1.0,58.0,Gracia
1955000,4.0,5.0,191.0,Gracia
725000,4.0,3.0,190.0,Gracia
399000,3.0,2.0,68.0,Gracia
380000,3.0,2.0,80.0,Gracia
389000,2.0,2.0,104.0,Gracia
395000,3.0,2.0,80.0,Gracia
199000,3.0,1.0,58.0,Gracia
220000,3.0,1.0,70.0,Gracia
215000,2.0,1.0,50.0,Gracia
470000,3.0,2.0,136.0,Gracia
225000,3.0,1.0,66.0,Gracia
298000,2.0,1.0,53.0,Gracia
319000,3.0,3.0,160.0,Gracia
399000,3.0,2.0,77.0,Gracia
305000,4.0,2.0,88.0,Gracia
197000,2.0,1.0,63.0,Gracia
215000,2.0,1.0,50.0,Gracia
259000,3.0,1.0,65.0,Gracia
320000,3.0,1.0,130.0,Gracia
215000,2.0,,,Gracia
498000,5.0,2.0,141.0,Gracia
330000,3.0,2.0,86.0,Gracia
725000,4.0,3.0,190.0,Gracia
630000,3.0,2.0,180.0,Gracia
497278,1.0,1.0,170.0,Gracia
290000,3.0,1.0,69.0,Gracia
404137,2.0,1.0,59.0,Gracia
690000,2.0,2.0,152.0,Gracia
550000,1.0,2.0,102.0,Gracia
159000,1.0,,,Gracia
389000,2.0,2.0,104.0,Gracia
488000,3.0,2.0,106.0,Gracia
295000,1.0,1.0,61.0,Gracia
413557,2.0,1.0,57.0,Gracia
695000,2.0,2.0,141.0,Gracia
490000,3.0,2.0,93.0,Gracia
548000,2.0,2.0,125.0,Gracia
488000,3.0,2.0,106.0,Gracia
498000,5.0,2.0,127.0,Gracia
380000,3.0,1.0,81.0,Gracia
1985000,6.0,6.0,567.0,Gracia
561581,1.0,1.0,90.0,Gracia
329000,3.0,2.0,93.0,Gracia
250000,2.0,1.0,52.0,Gracia
399000,3.0,2.0,78.0,Gracia
245000,1.0,,,Gracia
440000,4.0,2.0,93.0,Gracia
1490000,6.0,1.0,200.0,Gracia
199000,2.0,1.0,125.0,Gracia
604700,1.0,1.0,94.0,Gracia
395000,3.0,2.0,115.0,Gracia
175000,1.0,1.0,28.0,Gracia
193000,4.0,1.0,78.0,Gracia
1450000,4.0,4.0,263.0,Gracia
1050000,8.0,4.0,203.0,Gracia
2800000,3.0,3.0,300.0,Gracia
390000,2.0,1.0,65.0,Gracia
320000,4.0,1.0,86.0,Gracia
399000,3.0,2.0,77.0,Gracia
290000,3.0,2.0,77.0,Gracia
239900,3.0,1.0,69.0,Gracia
260000,3.0,1.0,65.0,Gracia
467000,2.0,1.0,82.0,Gracia
690000,3.0,3.0,120.0,Gracia
300000,3.0,1.0,75.0,Gracia
375000,4.0,2.0,95.0,Gracia
320000,4.0,1.0,86.0,Gracia
370000,2.0,1.0,70.0,Gracia
695000,4.0,2.0,200.0,Gracia
460000,4.0,2.0,80.0,Gracia
550000,1.0,2.0,102.0,Gracia
350000,4.0,1.0,83.0,Gracia
109000,1.0,,,Gracia
1050000,6.0,4.0,265.0,Gracia
395000,3.0,2.0,113.0,Gracia
750000,3.0,2.0,109.0,Gracia
698000,3.0,2.0,125.0,Gracia
1350000,4.0,3.0,222.0,Gracia
410000,2.0,2.0,87.0,Gracia
598000,5.0,3.0,248.0,Gracia
380000,3.0,2.0,80.0,Gracia
330000,3.0,2.0,86.0,Gracia
420000,2.0,2.0,101.0,Gracia
547000,3.0,2.0,128.0,Gracia
245000,1.0,1.0,42.0,Gracia
467000,2.0,1.0,82.0,Gracia
595000,5.0,3.0,250.0,Gracia
595000,5.0,3.0,250.0,Gracia
512000,2.0,2.0,143.0,Gracia
520000,4.0,2.0,119.0,Gracia
405310,2.0,1.0,57.0,Gracia
259000,3.0,1.0,65.0,Gracia
2100000,5.0,4.0,225.0,Gracia
320000,2.0,1.0,50.0,Gracia
394420,2.0,1.0,59.0,Gracia
744500,2.0,2.0,141.0,Gracia
380000,,,,Gracia
512000,2.0,2.0,99.0,Gracia
197000,2.0,1.0,63.0,Gracia
415000,3.0,2.0,85.0,Gracia
970000,6.0,3.0,170.0,Gracia
475000,3.0,2.0,98.0,Gracia
695000,2.0,2.0,141.0,Gracia
450000,3.0,2.0,110.0,Gracia
215000,2.0,1.0,50.0,Gracia
498000,5.0,2.0,141.0,Gracia
690000,3.0,3.0,120.0,Gracia
225000,4.0,2.0,100.0,Gracia
197000,2.0,1.0,63.0,Gracia
835000,7.0,2.0,231.0,Gracia
260000,1.0,1.0,60.0,Gracia
290000,3.0,1.0,74.0,Gracia
498000,5.0,2.0,141.0,Gracia
193000,4.0,1.0,70.0,Gracia
3900000,10.0,,,Gracia
266238,1.0,1.0,52.0,Gracia
375000,2.0,1.0,94.0,Gracia
269000,3.0,1.0,65.0,Gracia
259000,3.0,1.0,69.0,Gracia
266000,1.0,1.0,64.0,Gracia
425000,2.0,1.0,80.0,Gracia
380000,3.0,1.0,90.0,Gracia
197000,2.0,1.0,63.0,Gracia
175000,3.0,1.0,63.0,Gracia
319500,2.0,2.0,165.0,Gracia
297500,3.0,2.0,52.0,Gracia
370000,3.0,2.0,90.0,Gracia
389000,2.0,2.0,119.0,Gracia
1200000,3.0,2.0,140.0,Gracia
785000,3.0,2.0,93.0,Gracia
339000,1.0,1.0,68.0,Gracia
199000,3.0,1.0,58.0,Gracia
330000,2.0,1.0,57.0,Gracia
398000,3.0,2.0,72.0,Gracia
1340000,2.0,2.0,212.0,Gracia
215000,2.0,1.0,50.0,Gracia
225000,4.0,2.0,100.0,Gracia
1340000,2.0,2.0,166.0,Gracia
159000,1.0,,,Gracia
197000,2.0,1.0,63.0,Gracia
380000,3.0,1.0,90.0,Gracia
385000,3.0,1.0,57.0,Gracia
1750000,8.0,2.0,230.0,Gracia
1100000,3.0,3.0,300.0,Gracia
510000,2.0,2.0,74.0,Gracia
320000,2.0,1.0,62.0,Gracia
380000,3.0,2.0,80.0,Gracia
1985000,6.0,6.0,597.0,Gracia
833000,7.0,2.0,231.0,Gracia
240000,1.0,1.0,,Gracia
245000,3.0,1.0,45.0,Gracia
495000,2.0,2.0,70.0,Gracia
320000,4.0,1.0,86.0,Gracia
1675000,6.0,2.0,194.0,Gracia
250000,2.0,1.0,75.0,Gracia
646000,3.0,2.0,82.0,Gracia
441900,2.0,2.0,77.0,Gracia
297500,3.0,2.0,57.0,Gracia
339000,3.0,1.0,70.0,Gracia
280000,2.0,1.0,51.0,Gracia
500000,3.0,2.0,121.0,Gracia
380000,3.0,2.0,80.0,Gracia
295000,3.0,1.0,82.0,Gracia
380000,3.0,2.0,80.0,Gracia
320000,3.0,1.0,86.0,Gracia
175000,1.0,1.0,48.0,Gracia
490000,2.0,2.0,104.0,Gracia
215000,2.0,1.0,50.0,Gracia
115000,2.0,1.0,50.0,Gracia
269000,3.0,1.0,65.0,Gracia
399000,3.0,2.0,78.0,Gracia
215000,2.0,1.0,50.0,Gracia
197000,2.0,1.0,50.0,Gracia
115000,1.0,,,Gracia
235000,1.0,2.0,65.0,Gracia
297500,3.0,2.0,57.0,Gracia
197000,2.0,1.0,63.0,Gracia
320000,2.0,1.0,53.0,Gracia
199000,3.0,1.0,58.0,Gracia
389000,2.0,2.0,104.0,Gracia
365000,2.0,1.0,60.0,Gracia
950000,3.0,2.0,130.0,Gracia
115000,1.0,,,Gracia
215000,2.0,1.0,50.0,Gracia
425000,2.0,1.0,84.0,Gracia
320000,1.0,1.0,,Gracia
345000,2.0,2.0,74.0,Gracia
498000,5.0,2.0,127.0,Gracia
505000,3.0,2.0,92.0,Gracia
377000,4.0,1.0,108.0,Gracia
215000,2.0,1.0,50.0,Gracia
425000,4.0,2.0,88.0,Gracia
320000,1.0,1.0,130.0,Gracia
740000,3.0,2.0,120.0,Gracia
380000,3.0,2.0,72.0,Gracia
698000,3.0,2.0,135.0,Gracia
630000,3.0,2.0,185.0,Gracia
1170000,3.0,2.0,157.0,Gracia
630000,3.0,2.0,132.0,Gracia
380000,3.0,2.0,80.0,Gracia
339000,3.0,1.0,70.0,Gracia
850000,5.0,3.0,221.0,Gracia
890000,4.0,2.0,186.0,Gracia
1080000,5.0,3.0,230.0,Gracia
498000,2.0,1.0,60.0,Gracia
498000,5.0,2.0,141.0,Gracia
630000,3.0,2.0,185.0,Gracia
1080000,3.0,2.0,177.0,Gracia
320000,1.0,1.0,130.0,Gracia
354000,3.0,2.0,85.0,Gracia
215000,1.0,1.0,44.0,Gracia
380000,3.0,2.0,80.0,Gracia
330000,3.0,1.0,75.0,Gracia
175000,3.0,1.0,63.0,Gracia
159000,1.0,,,Gracia
430000,2.0,1.0,70.0,Gracia
445000,3.0,1.0,84.0,Gracia
475000,2.0,2.0,150.0,Gracia
215000,3.0,1.0,100.0,Gracia
197000,2.0,1.0,63.0,Gracia
1700000,5.0,4.0,312.0,Gracia
1350000,5.0,2.0,260.0,Gracia
360000,2.0,1.0,95.0,Gracia
380000,3.0,2.0,80.0,Gracia
698000,3.0,2.0,143.0,Gracia
239000,2.0,1.0,63.0,Gracia
830000,2.0,3.0,132.0,Gracia
1795000,6.0,6.0,433.0,Gracia
1055000,3.0,2.0,158.0,Gracia
197000,2.0,1.0,63.0,Gracia
450000,3.0,2.0,90.0,Gracia
457000,5.0,2.0,81.0,Gracia
626000,3.0,2.0,82.0,Gracia
475000,2.0,1.0,107.0,Gracia
1195000,2.0,3.0,242.0,Gracia
2300000,4.0,5.0,260.0,Gracia
498000,4.0,2.0,102.0,Gracia
444200,2.0,1.0,103.0,Gracia
450900,2.0,1.0,103.0,Gracia
160000,3.0,1.0,74.0,Gracia
315000,3.0,1.0,99.0,Gracia
319000,1.0,1.0,60.0,Gracia
512259,3.0,2.0,85.0,Gracia
215000,2.0,1.0,50.0,Gracia
297500,3.0,2.0,52.0,Gracia
225000,4.0,2.0,100.0,Gracia
197000,2.0,1.0,63.0,Gracia
380000,3.0,2.0,80.0,Gracia
380000,3.0,2.0,80.0,Gracia
498000,5.0,2.0,141.0,Gracia
197000,2.0,1.0,65.0,Gracia
498000,4.0,2.0,141.0,Gracia
380000,3.0,2.0,80.0,Gracia
398000,3.0,2.0,80.0,Gracia
2500000,5.0,3.0,258.0,Gracia
270000,3.0,2.0,74.0,Gracia
336000,2.0,1.0,64.0,Gracia
550000,2.0,,,Gracia
1055000,3.0,2.0,160.0,Gracia
380000,3.0,2.0,80.0,Gracia
169000,3.0,1.0,69.0,Gracia
232000,2.0,,,Gracia
950000,4.0,2.0,160.0,Gracia
502000,1.0,,,Gracia
298000,2.0,1.0,53.0,Gracia
279990,2.0,1.0,56.0,Gracia
325000,3.0,2.0,82.0,Gracia
300000,2.0,1.0,80.0,Gracia
245000,1.0,1.0,42.0,Gracia
330000,3.0,2.0,86.0,Gracia
107000,1.0,,,Gracia
197000,2.0,1.0,63.0,Gracia
250000,1.0,1.0,41.0,Gracia
109000,1.0,,,Gracia
140000,3.0,1.0,59.0,Gracia
450000,4.0,2.0,125.0,Gracia
279000,2.0,1.0,58.0,Gracia
498000,5.0,2.0,141.0,Gracia
446300,2.0,1.0,103.0,Gracia
389800,2.0,1.0,90.0,Gracia
503000,2.0,1.0,101.0,Gracia
453400,3.0,2.0,104.0,Gracia
394500,3.0,2.0,86.0,Gracia
422600,3.0,2.0,96.0,Gracia
469000,3.0,2.0,102.0,Gracia
490000,2.0,2.0,104.0,Gracia
250000,2.0,4.0,89.0,Gracia
280000,3.0,1.0,70.0,Gracia
630000,3.0,2.0,135.0,Gracia
405000,3.0,2.0,115.0,Gracia
730000,4.0,2.0,130.0,Gracia
498000,5.0,2.0,141.0,Gracia
480000,4.0,3.0,285.0,Gracia
215000,2.0,1.0,50.0,Gracia
457000,4.0,2.0,74.0,Gracia
930000,4.0,1.0,128.0,Gracia
199000,3.0,1.0,72.0,Gracia
359000,2.0,2.0,100.0,Gracia
710000,3.0,2.0,117.0,Gracia
675000,3.0,2.0,135.0,Gracia
299630,1.0,1.0,51.0,Gracia
345000,1.0,1.0,66.0,Gracia
498000,5.0,2.0,141.0,Gracia
320000,4.0,1.0,86.0,Gracia
349000,3.0,2.0,9.0,Gracia
295000,3.0,1.0,89.0,Gracia
232000,2.0,1.0,57.0,Gracia
370000,3.0,1.0,82.0,Gracia
195000,3.0,2.0,100.0,Gracia
140000,2.0,1.0,50.0,Gracia
380000,,,,Gracia
215000,2.0,1.0,50.0,Gracia
750000,3.0,4.0,175.0,Gracia
615000,1.0,1.0,104.0,Gracia
340000,3.0,1.0,82.0,Gracia
215000,1.0,1.0,43.0,Gracia
